SERVICE,CURRENT_IMAGE,CURRENT_DIGEST,CURRENT_GIT_SHA,EXPECTED_REPOSITORY,EXPECTED_SHA,EXPECTED_DIGEST,SAFETY_STATE,MIGRATION_MODEL,ROLLBACK_DIGEST,ACTION,RISK
codestra-middleware-staging-social-delivery-worker-staging-1,codestra/middleware:social-staging-12cd5fc,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,12cd5fc0fcd7594f01809873f882c50f7dcd98bd,Codestra-SRL/codestra-middleware,12cd5fc0fcd7594f01809873f882c50f7dcd98bd,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,LEGACY_PROVENANCE_VERIFIED_CI_UNVERIFIED_FREEZE,HIGH:freeze-no-automatic-replacement
codestra-middleware-staging-social-reconciliation-worker-staging-1,codestra/middleware:social-staging-12cd5fc,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,12cd5fc0fcd7594f01809873f882c50f7dcd98bd,Codestra-SRL/codestra-middleware,12cd5fc0fcd7594f01809873f882c50f7dcd98bd,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,LEGACY_PROVENANCE_VERIFIED_CI_UNVERIFIED_FREEZE,HIGH:freeze-no-automatic-replacement
codestra-n8n-staging-n8n-1,n8nio/n8n@sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,NOT_APPLICABLE_VENDOR_IMAGE,appolon1908-hue/N8N,b620860c04bf0fe6998c5fc25857262aa5c89d74,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,RETAIN_IMAGE_RECONCILE_CONFIG_AFTER_BACKUP,MEDIUM:backup-and-readback-required
codestra-n8n-staging-postgres-1,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,NOT_APPLICABLE_VENDOR_IMAGE,docker.io/library/postgres,NOT_APPLICABLE_VENDOR_IMAGE,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,NOT_APPLICABLE_INFRASTRUCTURE,NOT_APPLICABLE_INFRASTRUCTURE,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,RETAIN_PINNED_INFRASTRUCTURE,MEDIUM:backup-and-readback-required
codestra-n8n-staging-redis-1,redis@sha256:bb186d083732f669da90be8b0f975a37812b15e913465bb14d845db72a4e3e08,sha256:bb186d083732f669da90be8b0f975a37812b15e913465bb14d845db72a4e3e08,NOT_APPLICABLE_VENDOR_IMAGE,docker.io/library/redis,NOT_APPLICABLE_VENDOR_IMAGE,sha256:bb186d083732f669da90be8b0f975a37812b15e913465bb14d845db72a4e3e08,NOT_APPLICABLE_INFRASTRUCTURE,NOT_APPLICABLE_INFRASTRUCTURE,sha256:bb186d083732f669da90be8b0f975a37812b15e913465bb14d845db72a4e3e08,RETAIN_PINNED_INFRASTRUCTURE,MEDIUM:backup-and-readback-required
codestra-n8n-staging-webhook-1,n8nio/n8n@sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,NOT_APPLICABLE_VENDOR_IMAGE,appolon1908-hue/N8N,b620860c04bf0fe6998c5fc25857262aa5c89d74,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,RETAIN_IMAGE_RECONCILE_CONFIG_AFTER_BACKUP,MEDIUM:backup-and-readback-required
codestra-n8n-staging-worker-1,n8nio/n8n@sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,NOT_APPLICABLE_VENDOR_IMAGE,appolon1908-hue/N8N,b620860c04bf0fe6998c5fc25857262aa5c89d74,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,RETAIN_IMAGE_RECONCILE_CONFIG_AFTER_BACKUP,MEDIUM:backup-and-readback-required
codestra-n8n-staging-worker-2-1,n8nio/n8n@sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,NOT_APPLICABLE_VENDOR_IMAGE,appolon1908-hue/N8N,b620860c04bf0fe6998c5fc25857262aa5c89d74,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:cfe2704ff858395503d42548206c2c99ea351a205e941063a9d9b77b0f404478,RETAIN_IMAGE_RECONCILE_CONFIG_AFTER_BACKUP,MEDIUM:backup-and-readback-required
codestra-odoo19-staging-odoo19-master-staging-1,odoo@sha256:f54272f31d5f77e4146b887efb3761c98480317daf687e4b4b5e76ed8bcc08c5,sha256:f54272f31d5f77e4146b887efb3761c98480317daf687e4b4b5e76ed8bcc08c5,NOT_APPLICABLE_VENDOR_IMAGE,appolon1908-hue/Odoo,3eeb17f8b7efcd9bd90487e5e8e9888717f51138,sha256:f54272f31d5f77e4146b887efb3761c98480317daf687e4b4b5e76ed8bcc08c5,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,FAIL:module-operation-in-normal-startup,sha256:f54272f31d5f77e4146b887efb3761c98480317daf687e4b4b5e76ed8bcc08c5,RETAIN_IMAGE_RECONCILE_ADDONS_AND_STARTUP_AFTER_BACKUP,MEDIUM:backup-and-readback-required
codestra-odoo19-staging-odoo19-scraper-canary-1,odoo@sha256:94a4f480b8039dc9ca2bca9e77e59f97d3311f66e2aad663cf2670be9c66d4ea,sha256:94a4f480b8039dc9ca2bca9e77e59f97d3311f66e2aad663cf2670be9c66d4ea,NOT_APPLICABLE_VENDOR_IMAGE,appolon1908-hue/Odoo,3eeb17f8b7efcd9bd90487e5e8e9888717f51138,sha256:94a4f480b8039dc9ca2bca9e77e59f97d3311f66e2aad663cf2670be9c66d4ea,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:94a4f480b8039dc9ca2bca9e77e59f97d3311f66e2aad663cf2670be9c66d4ea,UNVERIFIED_CUSTOM_ODOO_IMAGE_FREEZE,HIGH:freeze-no-automatic-replacement
codestra-odoo19-staging-odoo19-staging-1,odoo@sha256:f54272f31d5f77e4146b887efb3761c98480317daf687e4b4b5e76ed8bcc08c5,sha256:f54272f31d5f77e4146b887efb3761c98480317daf687e4b4b5e76ed8bcc08c5,NOT_APPLICABLE_VENDOR_IMAGE,appolon1908-hue/Odoo,3eeb17f8b7efcd9bd90487e5e8e9888717f51138,sha256:f54272f31d5f77e4146b887efb3761c98480317daf687e4b4b5e76ed8bcc08c5,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,FAIL:module-operation-in-normal-startup,sha256:f54272f31d5f77e4146b887efb3761c98480317daf687e4b4b5e76ed8bcc08c5,RETAIN_IMAGE_RECONCILE_ADDONS_AND_STARTUP_AFTER_BACKUP,MEDIUM:backup-and-readback-required
codestra-odoo19-staging-postgres-1,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,NOT_APPLICABLE_VENDOR_IMAGE,docker.io/library/postgres,NOT_APPLICABLE_VENDOR_IMAGE,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,NOT_APPLICABLE_INFRASTRUCTURE,NOT_APPLICABLE_INFRASTRUCTURE,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,RETAIN_PINNED_INFRASTRUCTURE,MEDIUM:backup-and-readback-required
